UMAP1,UMAP2,UMAP3,Class,Original_Label
-2.87178,-1.5359498,3.6637905,Whistle,0
-2.3776147,-2.5606031,4.0849457,Whistle,0
-2.0478833,-2.4326015,5.4862704,Whistle,0
14.863207,4.2338724,10.2515745,Whistle,0
-1.0555792,-2.3237767,10.060191,Whistle,0
-1.1080673,-2.3422604,10.067292,Whistle,0
-1.4185593,-2.2557135,9.749943,Whistle,0
-1.0528924,-2.229784,10.134116,Whistle,0
-2.2305481,-2.3331265,5.6651382,Whistle,0
-2.8547156,-1.7249229,3.7024016,Whistle,0
-2.4880314,-2.48072,3.9021535,Whistle,0
-2.8711376,-1.7675722,3.6096585,Whistle,0
2.747966,6.457156,-1.1148944,Whistle,0
-2.1102254,-1.7808702,5.1155176,Whistle,0
-1.0926992,-2.269064,10.024341,Whistle,0
-1.4073877,-2.297425,9.833046,Whistle,0
-1.5236793,-2.160182,7.995488,Whistle,0
-1.3677615,-2.2412472,7.5925136,Whistle,0
2.1466565,10.846106,4.7631683,Whistle,0
-2.7060566,-1.697357,4.1719046,Whistle,0
-2.7097614,-1.9906801,4.541225,Whistle,0
-2.842136,-1.307313,3.3782184,Whistle,0
-1.9835052,-2.6850677,4.8606014,Whistle,0
-2.9154286,-1.6091982,3.485749,Whistle,0
2.112999,10.800328,4.7237663,Whistle,0
-1.8401123,-1.1419406,5.3738327,Whistle,0
-1.0346501,-2.6165063,9.925897,Whistle,0
3.5370064,12.400715,6.6200895,Whistle,0
-3.2605615,-1.4827844,2.560012,Whistle,0
-2.2822883,-1.5946074,5.0274234,Whistle,0
-2.617713,-2.5644712,6.02819,Whistle,0
-1.8726722,-1.7277018,5.665217,Whistle,0
-2.794704,-1.5307454,3.930501,Whistle,0
-2.583901,-1.8523523,5.8011208,Whistle,0
2.7307851,6.4857535,-1.1652735,Whistle,0
-2.2331612,-1.049914,5.4475107,Whistle,0
-1.0710768,-0.12715474,9.857302,Whistle,0
-1.04405,-1.6636559,9.925665,Whistle,0
-1.1501871,-1.6733222,9.923199,Whistle,0
-1.1267112,-2.7885058,9.960936,Whistle,0
-1.4680915,-1.4277118,6.4076138,Whistle,0
1.7775421,2.8274875,3.6452997,Whistle,0
-1.5373247,-1.5912038,6.5615253,Whistle,0
-1.6263378,-2.4667811,6.375442,Whistle,0
-2.0600147,-1.877606,7.759901,Whistle,0
-1.0710704,-2.7201934,9.991977,Whistle,0
-1.0934589,-2.6955569,10.026267,Whistle,0
-1.3451015,-2.8573449,9.632345,Whistle,0
-2.0808058,-1.3496199,5.4778132,Whistle,0
-1.1985205,-3.0972922,9.826807,Whistle,0
-1.0473084,-2.3350523,10.125787,Whistle,0
-1.6824442,-2.1742253,6.0149384,Whistle,0
-1.8611596,-1.9351016,5.4753103,Whistle,0
-1.966153,-1.8426408,5.3440366,Whistle,0
-1.1799964,-3.1344879,9.817199,Whistle,0
-1.1290612,-3.2070785,9.842768,Whistle,0
-1.1365834,-3.1665716,9.818301,Whistle,0
-1.142127,-3.2004948,9.817256,Whistle,0
-1.1302797,-3.1885855,9.782689,Whistle,0
-1.1370707,-3.191142,9.810151,Whistle,0
-1.1308845,-3.2299414,9.831077,Whistle,0
-1.1988324,-3.147012,9.804235,Whistle,0
-1.59384,-1.651229,10.314973,Whistle,0
-3.3105474,-1.3292131,2.4828343,Whistle,0
-3.0667279,-2.0891128,2.9567356,Whistle,0
-1.3660103,-1.3674151,5.969221,Whistle,0
-2.2488794,-1.9157743,5.026585,Whistle,0
