PC1,PC2,PC3,Class,Original_Label
0.9413891,-7.4087143,2.0113432,Whistle,0
6.753498,1.9323766,-2.7517188,Whistle,0
19.102375,4.3655453,-2.2613106,Whistle,0
-171.65625,-16.131037,5.1969957,Whistle,0
56.190742,-2.7330174,-4.43554,Whistle,0
59.808693,0.56988,-1.7305678,Whistle,0
52.21794,-4.230555,-2.9284544,Whistle,0
62.09848,-0.045339823,-3.5808787,Whistle,0
18.684322,2.0875242,3.605733,Whistle,0
0.58530426,-4.6267376,0.23681891,Whistle,0
1.6094952,1.1181474,-4.806845,Whistle,0
0.6249485,-3.3846138,-0.054030776,Whistle,0
-79.968834,58.15552,4.2085705,Whistle,0
14.544958,-4.6457224,0.19040084,Whistle,0
56.67501,-0.52268314,-3.6833165,Whistle,0
58.919098,-1.8448795,-2.806914,Whistle,0
41.365234,4.63076,-6.006519,Whistle,0
34.95155,-3.823787,0.42249274,Whistle,0
-109.35614,39.59148,-41.061806,Whistle,0
5.942631,-5.0053797,0.9475236,Whistle,0
5.737379,5.0284624,8.624638,Whistle,0
0.34192467,-10.085098,-4.263047,Whistle,0
12.490965,5.198614,-6.940293,Whistle,0
-1.0060768,-6.7738876,0.090026975,Whistle,0
-90.60868,22.366734,-27.078005,Whistle,0
15.549069,-12.359834,-1.0368403,Whistle,0
61.04577,-0.1784885,-3.2859182,Whistle,0
-113.243866,3.9804776,-20.228888,Whistle,0
-8.823845,-3.2234368,7.200862,Whistle,0
12.423325,-4.8717575,2.0896313,Whistle,0
10.946342,14.394235,15.20236,Whistle,0
20.142298,-4.4934936,1.4106989,Whistle,0
2.9032478,-7.9036818,2.7777858,Whistle,0
17.72147,-4.0973053,11.964951,Whistle,0
-82.69744,52.409058,9.940302,Whistle,0
15.758072,-16.751389,4.595136,Whistle,0
54.76259,1.0110004,-9.758577,Whistle,0
49.789787,-2.1847415,-3.1999655,Whistle,0
48.31395,0.32717204,-3.1934195,Whistle,0
56.612503,0.154392,-3.1829488,Whistle,0
27.689577,-9.741619,-0.4780991,Whistle,0
-29.60284,2.0676782,50.45937,Whistle,0
29.800543,-9.83722,2.9597378,Whistle,0
31.064924,8.274032,0.56722856,Whistle,0
42.080276,-4.2348313,7.331253,Whistle,0
59.028374,0.60769844,-5.07701,Whistle,0
60.47618,-2.6360407,-3.0411487,Whistle,0
49.9718,-2.2239835,-2.1161325,Whistle,0
17.10868,-9.858328,1.8841832,Whistle,0
50.411724,-2.173702,-2.2809224,Whistle,0
65.417816,-0.52003694,-4.303499,Whistle,0
22.542027,0.53576875,-0.13462484,Whistle,0
18.661175,-2.9536808,-0.6607515,Whistle,0
17.672632,-4.5053067,-1.2945559,Whistle,0
52.306488,-4.0090566,-1.1714141,Whistle,0
51.46351,-2.3193257,-2.7961578,Whistle,0
49.91152,0.68886566,-2.2125564,Whistle,0
55.01918,0.18233824,-3.757971,Whistle,0
50.153126,-3.42889,-2.1389344,Whistle,0
52.785477,-2.0096664,-0.28080237,Whistle,0
54.556087,-0.4473493,-4.4069185,Whistle,0
50.214256,1.22243,-1.6476834,Whistle,0
54.943516,-0.7881892,-4.1078386,Whistle,0
-9.352989,-8.34587,6.845133,Whistle,0
-6.239338,4.3148975,-3.1668408,Whistle,0
23.139874,-5.2273245,-9.687841,Whistle,0
13.490841,-1.032607,0.3424785,Whistle,0
